Date,Open,High,Low,Close,Adj Close,Volume
2007-04-24,98.339996,98.339996,93.690002,94.820000,56.953228,4301300
2007-04-25,94.820000,95.849998,94.000000,95.500000,57.361683,3758100
2007-04-26,95.050003,95.250000,93.190002,93.500000,56.160343,3251200
2007-04-27,93.809998,96.900002,93.750000,96.690002,58.076412,2798700
2007-04-30,96.500000,97.160004,95.989998,96.139999,57.746063,2262600
2007-05-01,96.400002,96.529999,95.669998,96.230003,57.800098,1602500
2007-05-02,96.459999,97.000000,96.000000,96.070000,57.704002,1623900
2007-05-03,96.480003,96.480003,96.050003,96.400002,57.902218,1296800
2007-05-04,96.750000,97.000000,96.230003,96.639999,58.046379,949600
2007-05-07,97.000000,98.169998,96.919998,98.070000,58.905308,1696100
2007-05-08,97.760002,98.370003,97.120003,98.220001,58.995411,1509700
2007-05-09,98.209999,99.000000,97.800003,98.760002,59.319786,1489600
2007-05-10,98.699997,99.470001,98.410004,98.599998,59.223648,2169100
2007-05-11,98.660004,99.500000,98.449997,98.839996,59.367783,1460400
2007-05-14,98.680000,99.250000,98.300003,99.199997,59.584053,1349000
2007-05-15,99.199997,100.050003,99.080002,99.510002,59.770245,2365300
2007-05-16,99.790001,100.099998,99.220001,99.639999,59.848335,1537300
2007-05-17,99.300003,99.470001,98.360001,98.449997,59.133572,1381800
2007-05-18,98.599998,98.660004,97.930000,98.160004,58.959396,1363200
2007-05-21,97.809998,99.370003,97.800003,98.790001,59.337776,1883400
2007-05-22,97.709999,97.709999,94.000000,94.220001,56.592819,4822300
2007-05-23,94.209999,94.889999,94.089996,94.360001,56.676926,3215000
2007-05-24,94.750000,96.629997,94.550003,96.209999,57.788128,4232500
2007-05-25,96.180000,97.919998,96.180000,97.010002,58.268631,2182800
2007-05-29,97.019997,98.430000,96.849998,98.300003,59.043438,2082900
2007-05-30,98.300003,98.559998,96.860001,98.220001,59.206242,1922000
2007-05-31,98.620003,98.620003,97.209999,98.099998,59.133862,1589800
2007-06-01,98.230003,98.599998,97.089996,97.430000,58.730026,1559200
2007-06-04,96.980003,97.410004,96.849998,97.199997,58.591358,1076400
2007-06-05,96.699997,96.699997,95.110001,96.199997,57.988560,2224900
2007-06-06,96.190002,96.989998,95.949997,96.650002,58.259827,2556000
2007-06-07,97.540001,99.349998,95.250000,95.250000,57.415916,2227800
2007-06-08,95.389999,96.889999,95.019997,96.889999,58.404507,1802900
2007-06-11,97.000000,97.059998,96.120003,96.250000,58.018734,1440100
2007-06-12,95.800003,95.940002,95.169998,95.250000,57.415916,1782300
2007-06-13,95.400002,95.570000,94.540001,95.540001,57.590752,2548300
2007-06-14,95.900002,97.459999,95.120003,97.209999,58.597397,1892800
2007-06-15,97.550003,97.790001,96.339996,96.550003,58.199547,1865900
2007-06-18,97.099998,97.419998,95.209999,95.320000,57.458118,1576300
2007-06-19,95.139999,96.989998,95.139999,96.800003,58.350258,1903400
